ticker,company_name,exchange,industry,market_cap,universe_order,session_date,close,daily_change_pct,weighted_momentum_score,stock_return_90d,index_return_90d,relative_performance,rs_pct,weighted_momentum_pct,rs_pct_blended,rs_rating,weighted_momentum_rating,latest_rs_rating
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-07,143.4,1.271186440677985,4.72954312068643,-0.19888268156424582,-0.09677419354838723,-0.10210848801585859,0.09333333333333334,0.8355555555555556,0.6128888888888889,61,83,99
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-08,153.4,6.973500697350077,8.256172345634361,-0.13137032842582097,-0.05376344086021512,-0.07760688756560585,0.12334801762114538,0.8942731277533039,0.6629955947136563,66,89,99
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-09,149.2,-2.737940026075625,5.15052314421236,-0.15227272727272734,-0.06951871657754016,-0.08275401069518717,0.09009009009009009,0.7927927927927928,0.5819819819819819,58,79,99
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-10,151.7,1.6756032171581836,5.913777023155831,-0.13806818181818192,-0.06417112299465244,-0.07389705882352948,0.10572687224669604,0.8634361233480177,0.6361233480176212,63,86,99
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-13,160.0,5.4713249835201205,14.496095515532437,-0.0470518165574747,-0.0736842105263158,0.026632393968841095,0.47555555555555556,0.9688888888888889,0.8208888888888888,81,96,99
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-14,165.5,3.4375000000000044,14.970740158636996,0.033083645443195975,-0.05820105820105814,0.09128470364425412,0.7444933920704846,0.9823788546255506,0.9110132158590307,90,97,99
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-15,177.0,6.9486404833836835,21.233198737660697,0.15686274509803932,-0.032258064516129115,0.18912080961416844,0.9295154185022027,0.986784140969163,0.9696035242290748,96,98,99
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-16,189.3,6.949152542372894,31.56608347216041,0.18386491557223272,-0.031914893617021156,0.21577980918925388,0.933920704845815,1.0,0.9801762114537445,97,99,99
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-17,187.9,-0.7395668251452769,31.88895009735697,0.1751094434021263,-0.031914893617021156,0.20702433701914746,0.9251101321585903,1.0,0.977533039647577,97,99,99
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,Bất động sản,1490000000000000.0,158,2026-04-20,191.0,1.6498137307078276,36.64476884671926,0.18633540372670798,-0.026455026455026398,0.21279043018173438,0.9422222222222222,0.9955555555555555,0.9795555555555554,97,99,99
