ticker,company_name,exchange,industry,market_cap,universe_order,session_date,close,daily_change_pct,weighted_momentum_score,stock_return_90d,index_return_90d,relative_performance,rs_pct,weighted_momentum_pct,rs_pct_blended,rs_rating,weighted_momentum_rating,latest_rs_rating
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-25,3.5476410388946533,3.506569518137015,15.072075606401626,-0.17146225569362394,-0.10349975147194668,-0.06796250422167727,0.6666666666666666,0.9230769230769231,0.8461538461538461,84,91,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-26,3.743165016174317,5.5113799602618085,17.32203007316704,-0.15623974184544553,-0.10886952374866288,-0.04737021809678266,0.7435897435897436,0.9230769230769231,0.8692307692307693,86,91,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-27,3.5885720252990723,-4.130007365618238,11.366787953981294,-0.1992077182193207,-0.13171275835635,-0.06749495986297072,0.717948717948718,0.8974358974358975,0.8435897435897436,84,89,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-28,3.567578077316284,-0.5850223385453268,15.590253223439653,-0.20569996466830243,-0.14390267725157402,-0.06179728741672841,0.6666666666666666,0.9230769230769231,0.8461538461538461,84,91,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-29,3.4743189811706543,-2.614073024458774,12.139246849893027,-0.14740724297947216,-0.10389413854528917,-0.04351310443418299,0.717948717948718,0.9230769230769231,0.8615384615384616,85,91,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-30,3.424304962158203,-1.4395344608110539,8.682267553550549,-0.14094262244829903,-0.0930044087979831,-0.04793821365031592,0.6923076923076923,0.8717948717948718,0.8179487179487179,81,86,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-01,3.6414830684661865,6.342253645864093,15.574250475666918,0.008114225805105901,-0.005623389787830391,0.013737615592936292,0.7948717948717948,0.9487179487179487,0.9025641025641025,89,94,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-02,3.805092096328736,4.492922932399135,22.421539276734293,0.07936352386335788,0.021861861825287265,0.05750166203807061,0.7948717948717948,0.9743589743589743,0.9205128205128204,91,96,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-03,3.743201971054077,-1.6265079453496534,16.009186139651078,0.023859315824915406,-0.0019130947258394482,0.025772410550754854,0.8205128205128205,0.9743589743589743,0.9282051282051281,92,96,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-04,3.682147026062012,-1.631088716670881,15.08333764672547,0.032857121838539394,0.05545633582320342,-0.022599213984664024,0.7435897435897436,0.9487179487179487,0.8871794871794871,88,94,88
