ticker,company_name,exchange,industry,market_cap,universe_order,session_date,close,daily_change_pct,weighted_momentum_score,stock_return_90d,index_return_90d,relative_performance,rs_pct,weighted_momentum_pct,rs_pct_blended,rs_rating,weighted_momentum_rating,latest_rs_rating
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-15,0.4108000099658966,,3.0125425398253025,-0.3907828340306573,-0.21712037199956302,-0.17366246203109426,0.23076923076923078,0.717948717948718,0.5717948717948718,57,71,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-16,0.4183880090713501,1.8471272934203142,6.570695952044203,-0.3822333969723797,-0.21327358683068876,-0.16895981014169092,0.15384615384615385,0.48717948717948717,0.38717948717948714,39,49,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-17,0.4320690035820007,3.269929877057609,7.529288116969912,-0.3517091237032913,-0.18899118443676433,-0.162717939266527,0.3333333333333333,0.6410256410256411,0.5487179487179488,55,64,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-18,0.4236989915370941,-1.93719335928203,6.835989943907039,-0.3418820285339488,-0.19125677178541844,-0.15062525674853033,0.41025641025641024,0.7948717948717948,0.6794871794871794,68,79,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-19,0.4133709967136383,-2.4375783350316538,4.011628900870612,-0.3480949922648011,-0.20201530194498796,-0.14607969031981316,0.3076923076923077,0.7692307692307693,0.6307692307692307,63,76,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-20,0.4230389893054962,2.3388173502059573,4.609474972464067,-0.28272582350815323,-0.1408476409163789,-0.14187818259177432,0.4358974358974359,0.717948717948718,0.6333333333333333,63,71,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-21,0.4582729935646057,8.328784142793367,13.075174521456745,-0.23311860913056792,-0.1457219776034634,-0.08739663152710453,0.6153846153846154,0.9487179487179487,0.8487179487179487,84,94,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-22,0.4886359870433807,6.625525375737529,24.554220171460983,-0.17115158744417658,-0.12585560946744945,-0.04529597797672713,0.7435897435897436,0.9743589743589743,0.905128205128205,90,96,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-23,0.4805270135402679,-1.6595121354401776,19.23260209486033,-0.17939285963666907,-0.125524418635506,-0.05386844100116306,0.717948717948718,0.9743589743589743,0.8974358974358974,89,96,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-24,0.4756810069084167,-1.0084774623071446,21.75460110894032,-0.1786594594505586,-0.13079705780395778,-0.04786240164660083,0.7435897435897436,0.9743589743589743,0.905128205128205,90,96,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-25,0.4823839962482452,1.4091353748582724,21.072757951011845,-0.1258831694831064,-0.10349975147194668,-0.022383418011159728,0.7948717948717948,0.9487179487179487,0.9025641025641025,89,94,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-26,0.5100439786911011,5.734017433824956,25.143380557907633,-0.09633646951753772,-0.10886952374866288,0.012533054231125162,0.8461538461538461,0.9743589743589743,0.9358974358974358,93,96,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-27,0.5059090256690979,-0.8107051930334452,21.087653890512215,-0.11514140909207005,-0.13171275835635,0.016571349264279944,0.8205128205128205,1.0,0.9461538461538461,94,99,97
